id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_filename,image_path
15025,Men,Accessories,Headwear,Caps,White,Fall,2011.0,Sports,ADIDAS Men Solid White Caps,15025.jpg,images/15025.jpg
17888,Men,Apparel,Innerwear,Innerwear Vests,Green,Summer,2016.0,Casual,Levis Men Cruiser Green Innerwear Vest,17888.jpg,images/17888.jpg
28989,Women,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Biba Outlet Women Blue & Green Printed Churidar Kurta with Dupatta,28989.jpg,images/28989.jpg
55427,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Revlon Moisture Stay Mica Lipstick 15,55427.jpg,images/55427.jpg
58214,Women,Apparel,Bottomwear,Patiala,Multi,Fall,2012.0,Ethnic,Shree Women Brown Printed Patiala,58214.jpg,images/58214.jpg
38735,Unisex,Accessories,Accessories,Messenger Bag,Black,Fall,2012.0,Casual,Nike Unisex Black Messenger Bag,38735.jpg,images/38735.jpg
12538,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Casual,Puma Men Solid Blue Track Pants,12538.jpg,images/12538.jpg
37306,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Youth Series Men Analog-Digital Watch AQ-S800WD-1EVDFAD170,37306.jpg,images/37306.jpg
51589,Women,Apparel,Bottomwear,Jeggings,Blue,Summer,2012.0,Casual,Wrangler Women Blue Jeggings,51589.jpg,images/51589.jpg
52493,Women,Apparel,Innerwear,Camisoles,White,Winter,2015.0,Casual,Red Rose White Camisole,52493.jpg,images/52493.jpg
16222,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Puma Men Heroes Black Track Pant,16222.jpg,images/16222.jpg
25770,Men,Apparel,Topwear,Suspenders,Black,Summer,2012.0,Formal,Lino Perros Men Black Suspenders,25770.jpg,images/25770.jpg
31895,Women,Accessories,Stoles,Stoles,Magenta,Summer,2012.0,Ethnic,Fabindia Women Magenta Noil Silk & Wool Stole,31895.jpg,images/31895.jpg
56261,Men,Apparel,Loungewear and Nightwear,Night suits,Navy Blue,Summer,2016.0,Casual,SDL by Sweet Dreams Men Navy Blue Pyjama Set,56261.jpg,images/56261.jpg
57323,Women,Apparel,Innerwear,Bra,Cream,Winter,2015.0,Casual,Amante Cream-Coloured Full-Coverage Lace Bra BCFR11,57323.jpg,images/57323.jpg
19272,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Guess Men Boulevard Silver Watch,19272.jpg,images/19272.jpg
25888,Unisex,Accessories,Bags,Backpacks,Blue,Winter,2015.0,Casual,American Tourister Unisex Casual Blue Bag,25888.jpg,images/25888.jpg
20580,Women,Accessories,Bags,Mobile Pouch,Pink,Winter,2015.0,Casual,Baggit Women Angel Rosy Pink Mobile Pouch,20580.jpg,images/20580.jpg
58261,Women,Accessories,Bags,Clutches,Brown,Summer,2010.0,Casual,Baggit Women Brown Purse,58261.jpg,images/58261.jpg
56088,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017.0,Casual,Colorbar Star Shine Shock-o-Late Lip Gloss 04,56088.jpg,images/56088.jpg
32685,Women,Accessories,Bags,Clutches,Gold,Fall,2012.0,Party,Rocia Women Gold Coloured Clutch,32685.jpg,images/32685.jpg
40063,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,ADIDAS Unisex Blue Cap,40063.jpg,images/40063.jpg
53348,Men,Apparel,Innerwear,Boxers,Blue,Summer,2016.0,Casual,Smugglerz Men Blue and White Check Boxers,53348.jpg,images/53348.jpg
40194,Women,Apparel,Topwear,Kurtis,Mustard,Summer,2012.0,Ethnic,Mumbai Slang Women Mustard Kurti,40194.jpg,images/40194.jpg
