image_id,product_id,filename,relative_path,category,master_category,sub_category,article_type,gender,base_colour,season,year,usage,product_display_name,width,height,file_size_bytes
15970,15970,15970.jpg,data/images/15970.jpg,Apparel,Apparel,Topwear,Shirts,Men,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,60,80,1474
39386,39386,39386.jpg,data/images/39386.jpg,Apparel,Apparel,Bottomwear,Jeans,Men,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,60,80,1879
59263,59263,59263.jpg,data/images/59263.jpg,Accessories,Accessories,Watches,Watches,Women,Silver,Winter,2016,Casual,Titan Women Silver Watch,60,80,14841
21379,21379,21379.jpg,data/images/21379.jpg,Apparel,Apparel,Bottomwear,Track Pants,Men,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,60,80,2052
53759,53759,53759.jpg,data/images/53759.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,60,80,17798
1855,1855,1855.jpg,data/images/1855.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,60,80,2069
30805,30805,30805.jpg,data/images/30805.jpg,Apparel,Apparel,Topwear,Shirts,Men,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,60,80,1554
26960,26960,26960.jpg,data/images/26960.jpg,Apparel,Apparel,Topwear,Shirts,Women,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,60,80,23896
29114,29114,29114.jpg,data/images/29114.jpg,Accessories,Accessories,Socks,Socks,Men,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,60,80,22358
30039,30039,30039.jpg,data/images/30039.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016,Casual,Skagen Men Black Watch,60,80,22340
9204,9204,9204.jpg,data/images/9204.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,60,80,2400
48123,48123,48123.jpg,data/images/48123.jpg,Accessories,Accessories,Belts,Belts,Women,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,60,80,20886
18653,18653,18653.jpg,data/images/18653.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Men,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,60,80,14562
47957,47957,47957.jpg,data/images/47957.jpg,Accessories,Accessories,Bags,Handbags,Women,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,60,80,23855
46885,46885,46885.jpg,data/images/46885.jpg,Footwear,Footwear,Flip Flops,Flip Flops,Boys,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,60,80,20331
12369,12369,12369.jpg,data/images/12369.jpg,Apparel,Apparel,Topwear,Shirts,Men,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,60,80,16570
29928,29928,29928.jpg,data/images/29928.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,60,80,26486
42419,42419,42419.jpg,data/images/42419.jpg,Apparel,Apparel,Topwear,Tops,Girls,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,60,80,1889
51832,51832,51832.jpg,data/images/51832.jpg,Apparel,Apparel,Innerwear,Bra,Women,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,60,80,19469
47359,47359,47359.jpg,data/images/47359.jpg,Accessories,Accessories,Bags,Handbags,Women,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,60,80,22203
17429,17429,17429.jpg,data/images/17429.jpg,Accessories,Accessories,Watches,Watches,Men,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,60,80,3318
12967,12967,12967.jpg,data/images/12967.jpg,Footwear,Footwear,Sandal,Sandals,Men,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,60,80,3875
6842,6842,6842.jpg,data/images/6842.jpg,Accessories,Accessories,Shoe Accessories,Shoe Accessories,Unisex,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,60,80,18997
13089,13089,13089.jpg,data/images/13089.jpg,Apparel,Apparel,Topwear,Sweatshirts,Men,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,60,80,1665
18461,18461,18461.jpg,data/images/18461.jpg,Personal Care,Personal Care,Fragrance,Deodorant,Men,White,Spring,2017,Casual,David Beckham Signature Men Deos,60,80,17268
9036,9036,9036.jpg,data/images/9036.jpg,Footwear,Footwear,Shoes,Formal Shoes,Men,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,60,80,12850
48311,48311,48311.jpg,data/images/48311.jpg,Accessories,Accessories,Jewellery,Bracelet,Women,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,60,80,17561
7990,7990,7990.jpg,data/images/7990.jpg,Apparel,Apparel,Topwear,Tshirts,Men,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,60,80,1689
56019,56019,56019.jpg,data/images/56019.jpg,Personal Care,Personal Care,Lips,Lipstick,Women,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,60,80,19148
21977,21977,21977.jpg,data/images/21977.jpg,Accessories,Accessories,Bags,Handbags,Women,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,60,80,21875
37812,37812,37812.jpg,data/images/37812.jpg,Apparel,Apparel,Topwear,Shirts,Men,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,60,80,2197
4729,4729,4729.jpg,data/images/4729.jpg,Apparel,Apparel,Topwear,Tshirts,Boys,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,60,80,14885
56825,56825,56825.jpg,data/images/56825.jpg,Apparel,Apparel,Topwear,Shirts,Men,Brown,Summer,2012,Casual,John Players Men Brown Shirt,60,80,2926
39988,39988,39988.jpg,data/images/39988.jpg,Footwear,Footwear,Shoes,Casual Shoes,Men,White,Winter,2014,Casual,Gas Men Europa White Shoes,60,80,22008
59051,59051,59051.jpg,data/images/59051.jpg,Footwear,Footwear,Shoes,Flats,Women,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,60,80,20782
20099,20099,20099.jpg,data/images/20099.jpg,Apparel,Apparel,Topwear,Kurtas,Women,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,60,80,2768
58183,58183,58183.jpg,data/images/58183.jpg,Accessories,Accessories,Bags,Handbags,Women,White,Summer,2012,Casual,Rocky S Women White Handbag,60,80,14414
29742,29742,29742.jpg,data/images/29742.jpg,Accessories,Accessories,Bags,Handbags,Women,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,60,80,23598
