query_id,query_path,product_id,relevant_catalog_ids,category,split,review_status,review_notes
test_q001,data/images/26957.jpg,26957,26960,Apparel,test,approved,
val_q001,data/images/37783.jpg,37783,37812,Apparel,validation,approved,
test_q002,data/images/29726.jpg,29726,"29738,29742,53668,54018,54033",Accessories,test,approved,
test_q003,data/images/49660.jpg,49660,"37944,49653,49659",Apparel,test,approved,
test_q004,data/images/58177.jpg,58177,58173,Accessories,test,approved,
val_q002,data/images/32568.jpg,32568,"32573,32597,32599",Apparel,validation,approved,
test_q005,data/images/30501.jpg,30501,"30496,30500",Apparel,test,approved,
val_q003,data/images/16768.jpg,16768,"26435,49567,59432",Accessories,validation,approved,
val_q004,data/images/32432.jpg,32432,"29321,40075,40094,53433",Apparel,validation,approved,
test_q006,data/images/27210.jpg,27210,33489,Apparel,test,approved,
test_q007,data/images/41402.jpg,41402,41406,Apparel,test,approved,
test_q008,data/images/46411.jpg,46411,46383,Apparel,test,approved,
val_q005,data/images/51542.jpg,51542,"43163,43179,43193,51510,51534,51552,56341",Accessories,validation,approved,
val_q006,data/images/13332.jpg,13332,"13283,13315,13316,13324,13333,13334",Apparel,validation,approved,
test_q009,data/images/15354.jpg,15354,12507,Footwear,test,approved,
test_q010,data/images/29314.jpg,29314,"24324,29317",Accessories,test,approved,
test_q011,data/images/43531.jpg,43531,48501,Apparel,test,approved,
test_q012,data/images/34650.jpg,34650,34651,Footwear,test,approved,
test_q013,data/images/20054.jpg,20054,20063,Accessories,test,approved,
test_q014,data/images/58188.jpg,58188,58179,Accessories,test,approved,
val_q007,data/images/40280.jpg,40280,"27610,27622",Apparel,validation,approved,
test_q015,data/images/27870.jpg,27870,27868,Apparel,test,approved,
val_q008,data/images/11378.jpg,11378,11473,Apparel,validation,approved,
test_q016,data/images/49674.jpg,49674,"49663,49665,49672,49675",Accessories,test,approved,
val_q009,data/images/19115.jpg,19115,19113,Apparel,validation,approved,
test_q017,data/images/27209.jpg,27209,"27202,33487",Apparel,test,approved,
test_q018,data/images/47734.jpg,47734,"27703,27726,27733,47880",Accessories,test,approved,
test_q019,data/images/33995.jpg,33995,"25969,33966,34000,54146,54987,59898",Apparel,test,approved,
test_q020,data/images/46878.jpg,46878,"46862,46863,46868,46872",Accessories,test,approved,
val_q010,data/images/15747.jpg,15747,13898,Footwear,validation,approved,
test_q021,data/images/27693.jpg,27693,"43334,57247,57266",Accessories,test,approved,
val_q011,data/images/52407.jpg,52407,"52405,52410,52413",Apparel,validation,approved,
test_q022,data/images/32162.jpg,32162,32156,Accessories,test,approved,
val_q012,data/images/42677.jpg,42677,"42644,42659,42666,42668,42671,53411,53421,53426",Apparel,validation,approved,
val_q013,data/images/40589.jpg,40589,"28765,31319",Apparel,validation,approved,
test_q023,data/images/51255.jpg,51255,"51252,51259",Accessories,test,approved,
test_q024,data/images/52884.jpg,52884,52917,Apparel,test,approved,
