query_id,query_path,query_product_id,relevant_catalog_ids,category,article_type,product_name,split,review_status,review_notes
test_q001,data/images/26957.jpg,26957,26960,Apparel,Shirts,Jealous 21 Women Purple Shirt,test,approved,
val_q001,data/images/37783.jpg,37783,37812,Apparel,Shirts,John Players Men Navy Blue Shirt,validation,approved,
test_q002,data/images/29726.jpg,29726,"29738,29742,53668,54018,54033",Accessories,Handbags,Kiara Women Teal Handbag,test,approved,
test_q003,data/images/49660.jpg,49660,"37944,49653,49659",Apparel,Tops,Mineral Women Green Top,test,approved,
test_q004,data/images/58177.jpg,58177,58173,Accessories,Handbags,Rocky S Women Brown Handbag,test,approved,
val_q002,data/images/32568.jpg,32568,"32573,32597,32599",Apparel,Tops,ONLY Women Black Top,validation,approved,
test_q005,data/images/30501.jpg,30501,"30496,30500",Apparel,Bra,Lovable Women Fiona Purple Bra,test,approved,
val_q003,data/images/16768.jpg,16768,"26435,49567,59432",Accessories,Handbags,Spice Art Women Black Handbag,validation,approved,
val_q004,data/images/32432.jpg,32432,"29321,40075,40094,53433",Apparel,Tshirts,ADIDAS Men Black Jersey,validation,approved,
test_q006,data/images/27210.jpg,27210,33489,Apparel,Shirts,Doodle Kids Boy Check Green Shirt,test,approved,
test_q007,data/images/41402.jpg,41402,41406,Apparel,Tshirts,Wrangler Women Pink T-shirt,test,approved,
test_q008,data/images/46411.jpg,46411,46383,Apparel,Sweatshirts,ADIDAS Men Black Sweatshirt,test,approved,
val_q005,data/images/51542.jpg,51542,"43163,43179,43193,51510,51534,51552,56341",Accessories,Watches,Fastrack Men White Dial Watch,validation,approved,
val_q006,data/images/13332.jpg,13332,"13283,13315,13316,13324,13333,13334",Apparel,Shirts,Gini and Jony Kids Boys Check Blue Shirts,validation,approved,
test_q009,data/images/15354.jpg,15354,12507,Footwear,Casual Shoes,Red Tape Men Casual Black Casual Shoes,test,approved,
test_q010,data/images/29314.jpg,29314,"24324,29317",Accessories,Backpacks,ADIDAS Unisex Blue Backpack,test,approved,
test_q011,data/images/43531.jpg,43531,48501,Apparel,Tops,French Connection Women Off White Top,test,approved,
test_q012,data/images/34650.jpg,34650,34651,Footwear,Sports Shoes,Fila Women Top Fuel Black Sports Shoes,test,approved,
test_q013,data/images/20054.jpg,20054,20063,Accessories,Mufflers,United Colors Of Benetton Women Black Muffler,test,approved,
test_q014,data/images/58188.jpg,58188,58179,Accessories,Handbags,Rocky S Women Blue Handbag,test,approved,
val_q007,data/images/40280.jpg,40280,"27610,27622",Apparel,Trousers,Scullers Men Grey Trousers,validation,approved,
test_q015,data/images/27870.jpg,27870,27868,Apparel,Shirts,Scullers For Her Women White Striped Shirt,test,approved,
val_q008,data/images/11378.jpg,11378,11473,Apparel,Shirts,United Colors of Benetton Men Summer White Shirts,validation,approved,
test_q016,data/images/49674.jpg,49674,"49663,49665,49672,49675",Accessories,Sunglasses,United Colors of Benetton Men Sunglass,test,approved,
val_q009,data/images/19115.jpg,19115,19113,Apparel,Tshirts,Campbell Men Pack of 3 Solid Tshirts,validation,approved,
test_q017,data/images/27209.jpg,27209,"27202,33487",Apparel,Shirts,Doodle Kids Boy Check Red Shirt,test,approved,
test_q018,data/images/47734.jpg,47734,"27703,27726,27733,47880",Accessories,Handbags,Murcia Women Grey Handbag,test,approved,
test_q019,data/images/33995.jpg,33995,"25969,33966,34000,54146,54987,59898",Apparel,Tops,Femella Women Black Top,test,approved,
