query_id,source_query_id,source_image_id,product_id,product_name,category,variation_type,messy_image_path,relevant_catalog_ids,split
messy_test_q001_crop,test_q001,26957,26957,Jealous 21 Women Purple Shirt,Apparel,crop,evaluation/queries/messy/messy_test_q001_crop.jpg,26960,messy_test
messy_test_q002_darker_lighting,test_q002,29726,29726,Kiara Women Teal Handbag,Accessories,darker_lighting,evaluation/queries/messy/messy_test_q002_darker_lighting.jpg,"29738,29742,53668,54018,54033",messy_test
messy_test_q003_brighter_lighting,test_q003,49660,49660,Mineral Women Green Top,Apparel,brighter_lighting,evaluation/queries/messy/messy_test_q003_brighter_lighting.jpg,"37944,49653,49659",messy_test
messy_test_q004_contrast_change,test_q004,58177,58177,Rocky S Women Brown Handbag,Accessories,contrast_change,evaluation/queries/messy/messy_test_q004_contrast_change.jpg,58173,messy_test
messy_test_q005_small_rotation,test_q005,30501,30501,Lovable Women Fiona Purple Bra,Apparel,small_rotation,evaluation/queries/messy/messy_test_q005_small_rotation.jpg,"30496,30500",messy_test
messy_test_q006_mild_perspective,test_q006,27210,27210,Doodle Kids Boy Check Green Shirt,Apparel,mild_perspective,evaluation/queries/messy/messy_test_q006_mild_perspective.jpg,33489,messy_test
messy_test_q007_blur,test_q007,41402,41402,Wrangler Women Pink T-shirt,Apparel,blur,evaluation/queries/messy/messy_test_q007_blur.jpg,41406,messy_test
messy_test_q008_background_padding,test_q008,46411,46411,ADIDAS Men Black Sweatshirt,Apparel,background_padding,evaluation/queries/messy/messy_test_q008_background_padding.jpg,46383,messy_test
messy_test_q009_crop,test_q009,15354,15354,Red Tape Men Casual Black Casual Shoes,Footwear,crop,evaluation/queries/messy/messy_test_q009_crop.jpg,12507,messy_test
messy_test_q010_darker_lighting,test_q010,29314,29314,ADIDAS Unisex Blue Backpack,Accessories,darker_lighting,evaluation/queries/messy/messy_test_q010_darker_lighting.jpg,"24324,29317",messy_test
messy_test_q011_brighter_lighting,test_q011,43531,43531,French Connection Women Off White Top,Apparel,brighter_lighting,evaluation/queries/messy/messy_test_q011_brighter_lighting.jpg,48501,messy_test
messy_test_q012_contrast_change,test_q012,34650,34650,Fila Women Top Fuel Black Sports Shoes,Footwear,contrast_change,evaluation/queries/messy/messy_test_q012_contrast_change.jpg,34651,messy_test
messy_test_q013_small_rotation,test_q013,20054,20054,United Colors Of Benetton Women Black Muffler,Accessories,small_rotation,evaluation/queries/messy/messy_test_q013_small_rotation.jpg,20063,messy_test
messy_test_q014_mild_perspective,test_q014,58188,58188,Rocky S Women Blue Handbag,Accessories,mild_perspective,evaluation/queries/messy/messy_test_q014_mild_perspective.jpg,58179,messy_test
messy_test_q015_blur,test_q015,27870,27870,Scullers For Her Women White Striped Shirt,Apparel,blur,evaluation/queries/messy/messy_test_q015_blur.jpg,27868,messy_test
messy_test_q016_background_padding,test_q016,49674,49674,United Colors of Benetton Men Sunglass,Accessories,background_padding,evaluation/queries/messy/messy_test_q016_background_padding.jpg,"49663,49665,49672,49675",messy_test
messy_test_q017_crop,test_q017,27209,27209,Doodle Kids Boy Check Red Shirt,Apparel,crop,evaluation/queries/messy/messy_test_q017_crop.jpg,"27202,33487",messy_test
messy_test_q018_darker_lighting,test_q018,47734,47734,Murcia Women Grey Handbag,Accessories,darker_lighting,evaluation/queries/messy/messy_test_q018_darker_lighting.jpg,"27703,27726,27733,47880",messy_test
messy_test_q019_brighter_lighting,test_q019,33995,33995,Femella Women Black Top,Apparel,brighter_lighting,evaluation/queries/messy/messy_test_q019_brighter_lighting.jpg,"25969,33966,34000,54146,54987,59898",messy_test
messy_test_q020_contrast_change,test_q020,46878,46878,Lino Perros Men Pack of 2 Socks,Accessories,contrast_change,evaluation/queries/messy/messy_test_q020_contrast_change.jpg,"46862,46863,46868,46872",messy_test
messy_test_q021_small_rotation,test_q021,27693,27693,Murcia Women Maroon Handbag,Accessories,small_rotation,evaluation/queries/messy/messy_test_q021_small_rotation.jpg,"43334,57247,57266",messy_test
messy_test_q022_mild_perspective,test_q022,32162,32162,Playboy Women Playmate Black Ankle Socks,Accessories,mild_perspective,evaluation/queries/messy/messy_test_q022_mild_perspective.jpg,32156,messy_test
messy_test_q023_blur,test_q023,51255,51255,Park Avenue Men Black Belt,Accessories,blur,evaluation/queries/messy/messy_test_q023_blur.jpg,"51252,51259",messy_test
