condition,model,reranked,query_type,variation_type,query_id,query_path,category,relevant_count,relevant_catalog_item_ids,retrieved_catalog_item_ids,hits_top5,P@1,P@5,P@10,R@1,R@5,R@10,Hit@1,Hit@5,Hit@10,MRR,embedding_latency_ms,search_latency_ms,rerank_latency_ms,total_latency_ms
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q001_crop,evaluation/queries/messy/messy_test_q001_crop.jpg,Apparel,1,[17],"[31023, 22834, 19664, 31232, 29235, 24480, 18881, 14313, 7652, 17]",0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.1,144.21,19.29,0.039,163.54
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q002_darker_lighting,evaluation/queries/messy/messy_test_q002_darker_lighting.jpg,Accessories,5,"[82, 83, 84, 85, 86]","[26540, 43371, 82, 42182, 83, 5841, 1504, 5840, 5842, 5843]",2,0.0,0.4,0.2,0.0,0.4,0.4,0.0,1.0,1.0,0.3333,159.34,17.31,0.044,176.7
CLIP baseline — messy test,CLIP,False,messy,brighter_lighting,messy_test_q003_brighter_lighting,evaluation/queries/messy/messy_test_q003_brighter_lighting.jpg,Apparel,3,"[192, 193, 194]","[16825, 41064, 23219, 22707, 29784, 40546, 7616, 37961, 39234, 19181]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.21,17.93,0.042,162.18
CLIP baseline — messy test,CLIP,False,messy,contrast_change,messy_test_q004_contrast_change,evaluation/queries/messy/messy_test_q004_contrast_change.jpg,Accessories,1,[389],"[1667, 20756, 43974, 34578, 23074, 5473, 23065, 867, 42293, 36819]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.09,18.55,0.042,166.68
CLIP baseline — messy test,CLIP,False,messy,small_rotation,messy_test_q005_small_rotation,evaluation/queries/messy/messy_test_q005_small_rotation.jpg,Apparel,2,"[835, 836]","[31582, 17510, 39534, 15930, 40109, 12629, 20492, 8521, 835, 43615]",0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,1.0,0.1111,117.79,17.85,0.044,135.69
CLIP baseline — messy test,CLIP,False,messy,mild_perspective,messy_test_q006_mild_perspective,evaluation/queries/messy/messy_test_q006_mild_perspective.jpg,Apparel,1,[1271],"[1271, 26688, 26687, 14499, 33834, 18643, 18642, 18132, 20860, 20859]",1,1.0,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.77,17.33,0.042,131.14
CLIP baseline — messy test,CLIP,False,messy,blur,messy_test_q007_blur,evaluation/queries/messy/messy_test_q007_blur.jpg,Apparel,1,[1323],"[32640, 21027, 21066, 29185, 24619, 35737, 5328, 11356, 6031, 6030]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.23,18.12,0.046,135.4
CLIP baseline — messy test,CLIP,False,messy,background_padding,messy_test_q008_background_padding,evaluation/queries/messy/messy_test_q008_background_padding.jpg,Apparel,1,[1372],"[12077, 40451, 35728, 18546, 12827, 31861, 37235, 9854, 4199, 1922]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.47,17.44,0.043,169.96
CLIP baseline — messy test,CLIP,False,messy,crop,messy_test_q009_crop,evaluation/queries/messy/messy_test_q009_crop.jpg,Footwear,1,[1691],"[27011, 9539, 3327, 34669, 495, 20761, 29992, 32668, 25238, 28689]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.15,17.73,0.044,160.92
CLIP baseline — messy test,CLIP,False,messy,darker_lighting,messy_test_q010_darker_lighting,evaluation/queries/messy/messy_test_q010_darker_lighting.jpg,Accessories,2,"[1917, 1918]","[6922, 20326, 39467, 40020, 35451, 31464, 17741, 6921, 17514, 40383]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.62,17.42,0.044,131.09
